index;file_name;url;report_type_specific;report_type_annual;report_type_sustainability;comment;direct_downloadlink
1;aareal bank ag_2018_report;https://www.aareal-bank.com/fileadmin/downloadlist/DAM_Content/PRESS/News/2019/reporting/Finaler_CDP_Fragenbogen_Aareal_Bank_2018.pdf;other;;;;
2;acuity brands inc_2022_report;https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AYI_2022.pdf;Sustainability Report;;Sustainability Report;;
3;addtech_2022_report;https://www.addtech.com/fileadmin/user_upload/Arsredovisningar/Addtech-Annual-Report-2021-2022.pdf;Annual Report;Annual Report;;;
4;aixtron_2020_report;https://www.aixtron.com/investoren/publikationen/2020/en/Sustainability Report 2020.pdf;Sustainability Report;;Sustainability Report;;
5;allfunds group_2021_report;https://app.allfunds.com/docs/cms/Allfunds_ESG_Report_2021_en_af92710ca3.pdf;ESG Report;;Sustainability Report;;
6;Allianz_2022_report;https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/sustainability/documents/Allianz_Group_Sustainability_Report_2022-web.pdf;Sustainability Report;;Sustainability Report;;
7;alumina ltd_2022_report;https://www.annualreports.com/HostedData/AnnualReportArchive/A/ASX_AWC_2022.pdf;Annual Report;Annual Report;;;
8;amano corp_2022_report;https://www.amano-enzyme.com/assets/pdf/sustainability-report/report_en.pdf;Sustainability Report;;Sustainability Report;;
9;americold realty inc_2022_report;https://483539.fs1.hubspotusercontent-na1.net/hubfs/483539/Website_Files/Americold 2022 ESG Report FINAL.pdf;ESG Report;;Sustainability Report;;
10;apollo commercial real estate fina_2019_report;;;;;nothing found;
11;apollo medical holdings_2022_report;https://www.apollohospitals.com/apollo_pdf/AHEL-AR22-Full-Report-Final-(20220802).pdf;Annual Report;Annual Report;;;
12;arbonia ag_2018_report;https://report.arbonia.com/2018/en/download-center-2/;Annual Report;Annual Report;;;
13;arteria networks corp_2019_report;https://www.atlasarteria.com/stores/_sharedfiles/Sustainability/AtlasArteriaSustainabilityReport2019_web.pdf;Sustainability Report;;Sustainability Report;;
14;asos plc_2017_report;https://asos-12954-s3.s3.eu-west-2.amazonaws.com/files/9916/3232/1399/27-10-2017-ar.pdf;Annual Report;Annual Report;;;
15;asos plc_2019_report;https://asos-12954-s3.s3.eu-west-2.amazonaws.com/files/3516/3301/5969/asos-carbon-report-2019-20-1.pdf;Operational Carbon Report;;;;
